Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-100015,2024-06-27,2024-06-28,First Class,CUST-1245,Customer_60,Consumer,USA,Seattle,Washington,West,PROD-999,Furniture,Chairs,Office Chair,39.09,8,0,10.54
ORD-100016,2024-08-03,2024-08-04,Second Class,CUST-1675,Customer_487,Home Office,USA,New York,New York,East,PROD-269,Office Supplies,Paper,Copy Paper,819.7,8,0.2,165.14
ORD-100017,2023-09-29,2023-10-04,First Class,CUST-1408,Customer_688,Home Office,USA,Seattle,Washington,West,PROD-482,Furniture,Tables,Study Table,930.34,4,0.3,151.15
ORD-100018,2024-03-24,2024-03-29,Second Class,CUST-1602,Customer_226,Consumer,USA,Houston,Texas,South,PROD-172,Technology,Phones,Smartphone,240.2,4,0,13.27
ORD-100019,2024-12-25,2024-12-31,Second Class,CUST-1285,Customer_686,Corporate,USA,New York,New York,East,PROD-319,Technology,Accessories,Wireless Mouse,907.31,2,0,61.44
ORD-100020,2024-07-06,2024-07-08,Second Class,CUST-1096,Customer_100,Home Office,USA,Boston,Massachusetts,East,PROD-541,Office Supplies,Binders,Binder,258.14,8,0.1,59.86
ORD-100021,2023-12-29,2024-01-02,Same Day,CUST-1745,Customer_348,Consumer,USA,Houston,Texas,South,PROD-354,Furniture,Tables,Study Table,679.9,1,0.3,9.93
ORD-100022,2023-07-16,2023-07-18,Standard Class,CUST-1453,Customer_564,Consumer,USA,Seattle,Washington,West,PROD-151,Furniture,Tables,Study Table,433.44,3,0,71.8
ORD-100023,2024-10-29,2024-11-03,Same Day,CUST-1924,Customer_61,Consumer,USA,New York,New York,East,PROD-488,Technology,Phones,Smartphone,182.98,4,0.1,27.51
ORD-100024,2023-01-03,2023-01-07,Same Day,CUST-1158,Customer_195,Corporate,USA,Chicago,Illinois,Central,PROD-322,Furniture,Tables,Study Table,434.55,5,0.3,103.79
ORD-100025,2023-03-01,2023-03-06,Same Day,CUST-1514,Customer_544,Consumer,USA,Boston,Massachusetts,East,PROD-158,Office Supplies,Binders,Binder,753.02,1,0,47.09
ORD-100026,2024-06-04,2024-06-05,Second Class,CUST-1592,Customer_609,Consumer,USA,Los Angeles,California,West,PROD-734,Technology,Phones,Smartphone,681.71,2,0,102.9
ORD-100027,2023-03-25,2023-03-29,First Class,CUST-1244,Customer_272,Corporate,USA,Boston,Massachusetts,East,PROD-234,Office Supplies,Binders,Binder,936.01,6,0,203.52
ORD-100028,2024-11-18,2024-11-24,Standard Class,CUST-1075,Customer_551,Consumer,USA,Chicago,Illinois,Central,PROD-618,Furniture,Tables,Study Table,930.44,6,0,48.69
ORD-100029,2023-09-29,2023-10-01,First Class,CUST-1626,Customer_670,Home Office,USA,Chicago,Illinois,Central,PROD-108,Technology,Phones,Smartphone,382.14,4,0,60.97
ORD-100030,2024-11-14,2024-11-21,Standard Class,CUST-1760,Customer_567,Consumer,USA,Seattle,Washington,West,PROD-378,Furniture,Chairs,Office Chair,940.15,2,0,109.17
ORD-100031,2023-10-16,2023-10-21,Same Day,CUST-1257,Customer_53,Consumer,USA,Los Angeles,California,West,PROD-749,Office Supplies,Paper,Copy Paper,219.53,6,0.3,44.61
ORD-100032,2024-03-09,2024-03-16,First Class,CUST-1165,Customer_760,Corporate,USA,Chicago,Illinois,Central,PROD-664,Technology,Phones,Smartphone,346.89,1,0,72.6
ORD-100033,2024-12-23,2024-12-27,Standard Class,CUST-1854,Customer_379,Home Office,USA,Seattle,Washington,West,PROD-665,Technology,Phones,Smartphone,93.74,2,0.3,20.25
ORD-100034,2023-06-01,2023-06-05,Second Class,CUST-1698,Customer_256,Home Office,USA,Los Angeles,California,West,PROD-205,Technology,Phones,Smartphone,377.36,5,0,103.67
ORD-100035,2023-12-29,2024-01-05,Second Class,CUST-1902,Customer_423,Consumer,USA,Seattle,Washington,West,PROD-283,Furniture,Tables,Study Table,927.25,3,0,246.79
ORD-100036,2023-12-07,2023-12-14,Standard Class,CUST-1879,Customer_482,Consumer,USA,Houston,Texas,South,PROD-304,Office Supplies,Paper,Copy Paper,281.47,4,0.3,4.79
ORD-100037,2024-04-16,2024-04-19,First Class,CUST-1885,Customer_72,Corporate,USA,Chicago,Illinois,Central,PROD-459,Technology,Accessories,Wireless Mouse,43.19,4,0,6.46
ORD-100038,2024-10-18,2024-10-23,First Class,CUST-1182,Customer_595,Corporate,USA,Houston,Texas,South,PROD-139,Office Supplies,Paper,Copy Paper,940.45,6,0,253.23
ORD-100039,2023-04-22,2023-04-27,Second Class,CUST-1260,Customer_46,Home Office,USA,Houston,Texas,South,PROD-546,Furniture,Chairs,Office Chair,447.67,6,0.2,17.42
ORD-100040,2023-01-02,2023-01-07,First Class,CUST-1638,Customer_322,Home Office,USA,Seattle,Washington,West,PROD-968,Office Supplies,Paper,Copy Paper,376.94,4,0,108.26
ORD-100041,2023-05-08,2023-05-14,First Class,CUST-1567,Customer_131,Consumer,USA,Chicago,Illinois,Central,PROD-530,Office Supplies,Binders,Binder,673.56,5,0,101.44
ORD-100042,2024-11-11,2024-11-15,Standard Class,CUST-1311,Customer_294,Consumer,USA,Boston,Massachusetts,East,PROD-540,Office Supplies,Paper,Copy Paper,623.2,3,0,94.43
ORD-100043,2024-08-16,2024-08-21,Same Day,CUST-1812,Customer_754,Consumer,USA,Boston,Massachusetts,East,PROD-774,Furniture,Chairs,Office Chair,452.95,8,0.3,19.67
ORD-100044,2023-03-28,2023-03-31,Second Class,CUST-1825,Customer_204,Consumer,USA,Seattle,Washington,West,PROD-125,Office Supplies,Paper,Copy Paper,111.52,6,0,24.33
ORD-100045,2023-02-17,2023-02-19,Same Day,CUST-1506,Customer_410,Consumer,USA,Houston,Texas,South,PROD-251,Office Supplies,Binders,Binder,466.31,2,0.3,62.45
ORD-100046,2024-11-02,2024-11-08,Standard Class,CUST-1570,Customer_256,Consumer,USA,New York,New York,East,PROD-567,Technology,Phones,Smartphone,234.46,7,0.3,28.02
ORD-100047,2023-05-17,2023-05-24,Same Day,CUST-1850,Customer_562,Corporate,USA,Houston,Texas,South,PROD-262,Office Supplies,Paper,Copy Paper,951.04,6,0.1,174.2
ORD-100048,2024-05-01,2024-05-05,Second Class,CUST-1281,Customer_451,Consumer,USA,Chicago,Illinois,Central,PROD-830,Technology,Accessories,Wireless Mouse,770.5,5,0.2,101.05
ORD-100049,2023-10-20,2023-10-22,Second Class,CUST-1392,Customer_711,Consumer,USA,Chicago,Illinois,Central,PROD-823,Furniture,Chairs,Office Chair,895.17,6,0,75.73
ORD-100050,2023-08-08,2023-08-09,Same Day,CUST-1398,Customer_789,Home Office,USA,Houston,Texas,South,PROD-812,Furniture,Tables,Study Table,551.76,6,0.1,25.14
ORD-100051,2023-01-21,2023-01-28,Same Day,CUST-1873,Customer_430,Home Office,USA,Seattle,Washington,West,PROD-865,Furniture,Tables,Study Table,25.78,8,0,3.21
ORD-100052,2024-07-13,2024-07-20,Same Day,CUST-1344,Customer_685,Home Office,USA,Seattle,Washington,West,PROD-917,Technology,Accessories,Wireless Mouse,235.03,8,0.1,35.59
ORD-100053,2024-02-19,2024-02-25,Same Day,CUST-1606,Customer_578,Home Office,USA,Los Angeles,California,West,PROD-127,Furniture,Tables,Study Table,981.11,3,0.2,16.43
ORD-100054,2023-03-27,2023-04-02,Second Class,CUST-1465,Customer_335,Corporate,USA,Houston,Texas,South,PROD-879,Technology,Accessories,Wireless Mouse,198.09,8,0,28.68
ORD-100055,2024-01-24,2024-01-27,First Class,CUST-1229,Customer_666,Consumer,USA,Houston,Texas,South,PROD-899,Furniture,Chairs,Office Chair,480.9,2,0.3,60.04
ORD-100056,2024-10-29,2024-10-30,Second Class,CUST-1484,Customer_686,Consumer,USA,New York,New York,East,PROD-677,Technology,Accessories,Wireless Mouse,842.44,4,0.2,40.52
ORD-100057,2023-08-12,2023-08-16,Standard Class,CUST-1796,Customer_168,Corporate,USA,Boston,Massachusetts,East,PROD-210,Furniture,Chairs,Office Chair,184.43,6,0.2,46.28
ORD-100058,2024-08-15,2024-08-16,Second Class,CUST-1104,Customer_714,Corporate,USA,Chicago,Illinois,Central,PROD-970,Office Supplies,Binders,Binder,408.72,7,0.3,16.18
ORD-100059,2024-12-01,2024-12-06,Standard Class,CUST-1518,Customer_664,Corporate,USA,New York,New York,East,PROD-112,Office Supplies,Binders,Binder,360.26,1,0.1,70.39
ORD-100060,2024-03-06,2024-03-13,Same Day,CUST-1724,Customer_157,Corporate,USA,Houston,Texas,South,PROD-280,Technology,Phones,Smartphone,961.57,7,0.3,204.71
ORD-100061,2024-06-18,2024-06-24,First Class,CUST-1872,Customer_252,Consumer,USA,Chicago,Illinois,Central,PROD-385,Office Supplies,Binders,Binder,475.58,8,0.3,65.69
ORD-100062,2024-04-06,2024-04-08,Second Class,CUST-1499,Customer_218,Corporate,USA,Houston,Texas,South,PROD-916,Office Supplies,Binders,Binder,349.67,7,0.1,84.88
ORD-100063,2023-09-22,2023-09-25,Standard Class,CUST-1247,Customer_738,Corporate,USA,Chicago,Illinois,Central,PROD-600,Office Supplies,Binders,Binder,564.68,5,0.2,139.48
ORD-100064,2024-07-22,2024-07-29,Standard Class,CUST-1095,Customer_302,Consumer,USA,Los Angeles,California,West,PROD-514,Office Supplies,Paper,Copy Paper,652.98,8,0.1,92.75
ORD-100065,2024-12-09,2024-12-11,First Class,CUST-1360,Customer_720,Corporate,USA,Chicago,Illinois,Central,PROD-377,Office Supplies,Paper,Copy Paper,483.8,6,0.2,46.42
ORD-100066,2023-11-10,2023-11-13,Second Class,CUST-1196,Customer_222,Home Office,USA,Los Angeles,California,West,PROD-595,Technology,Phones,Smartphone,329.24,4,0.3,40.81
ORD-100067,2023-10-11,2023-10-17,First Class,CUST-1183,Customer_310,Consumer,USA,Seattle,Washington,West,PROD-825,Office Supplies,Binders,Binder,980.9,5,0,121.69
ORD-100068,2024-06-30,2024-07-02,Same Day,CUST-1105,Customer_13,Home Office,USA,Chicago,Illinois,Central,PROD-391,Technology,Phones,Smartphone,562.29,1,0.3,127.09
ORD-100069,2024-04-25,2024-04-29,Same Day,CUST-1116,Customer_67,Corporate,USA,Houston,Texas,South,PROD-603,Furniture,Chairs,Office Chair,966.19,3,0,275.62
ORD-100070,2023-03-17,2023-03-22,Standard Class,CUST-1254,Customer_122,Home Office,USA,Boston,Massachusetts,East,PROD-882,Office Supplies,Paper,Copy Paper,168.69,1,0.2,41.71
ORD-100071,2024-03-02,2024-03-07,Same Day,CUST-1304,Customer_603,Corporate,USA,Seattle,Washington,West,PROD-412,Office Supplies,Binders,Binder,780.18,4,0.1,111.28
ORD-100072,2024-08-05,2024-08-10,First Class,CUST-1676,Customer_84,Consumer,USA,New York,New York,East,PROD-345,Office Supplies,Binders,Binder,948.64,2,0,195.78
ORD-100073,2023-06-27,2023-07-02,First Class,CUST-1033,Customer_238,Corporate,USA,New York,New York,East,PROD-823,Technology,Accessories,Wireless Mouse,420.35,1,0.3,58.2
ORD-100074,2023-10-17,2023-10-23,Second Class,CUST-1435,Customer_118,Home Office,USA,Houston,Texas,South,PROD-330,Technology,Phones,Smartphone,925.43,4,0.3,127.2
ORD-100075,2024-10-25,2024-10-27,First Class,CUST-1449,Customer_128,Corporate,USA,Chicago,Illinois,Central,PROD-805,Technology,Accessories,Wireless Mouse,78.45,2,0,15.59
ORD-100076,2023-11-08,2023-11-14,Same Day,CUST-1752,Customer_331,Home Office,USA,Houston,Texas,South,PROD-356,Furniture,Chairs,Office Chair,449,8,0.2,8.96
ORD-100077,2023-01-27,2023-01-28,Standard Class,CUST-1781,Customer_775,Consumer,USA,Los Angeles,California,West,PROD-581,Office Supplies,Paper,Copy Paper,999.58,1,0.3,195.27
ORD-100078,2024-06-15,2024-06-21,Same Day,CUST-1992,Customer_94,Corporate,USA,Houston,Texas,South,PROD-456,Furniture,Chairs,Office Chair,997.01,3,0.1,188.13
ORD-100079,2024-02-23,2024-02-26,Same Day,CUST-1295,Customer_679,Corporate,USA,Chicago,Illinois,Central,PROD-933,Office Supplies,Paper,Copy Paper,860.58,2,0,131.59
ORD-100080,2024-07-17,2024-07-18,Same Day,CUST-1885,Customer_527,Consumer,USA,Houston,Texas,South,PROD-773,Technology,Phones,Smartphone,267.35,6,0,78.21
ORD-100081,2024-07-09,2024-07-13,Same Day,CUST-1778,Customer_53,Consumer,USA,Houston,Texas,South,PROD-373,Technology,Phones,Smartphone,528.07,4,0.2,105.14
ORD-100082,2024-07-16,2024-07-18,Second Class,CUST-1726,Customer_163,Corporate,USA,Chicago,Illinois,Central,PROD-664,Furniture,Tables,Study Table,139,8,0.3,19.77
ORD-100083,2023-01-15,2023-01-20,Standard Class,CUST-1663,Customer_158,Corporate,USA,Houston,Texas,South,PROD-833,Technology,Phones,Smartphone,992.41,4,0,164.11
ORD-100084,2023-10-26,2023-10-31,Second Class,CUST-1392,Customer_196,Home Office,USA,Boston,Massachusetts,East,PROD-620,Furniture,Chairs,Office Chair,838.03,7,0.1,76.2
ORD-100085,2023-05-20,2023-05-27,Standard Class,CUST-1289,Customer_744,Corporate,USA,New York,New York,East,PROD-957,Furniture,Chairs,Office Chair,353.08,7,0.2,27.11
ORD-100086,2024-08-24,2024-08-29,Same Day,CUST-1466,Customer_330,Consumer,USA,Boston,Massachusetts,East,PROD-814,Furniture,Tables,Study Table,457.62,3,0.1,53.21
ORD-100087,2023-09-02,2023-09-07,Same Day,CUST-1395,Customer_680,Home Office,USA,Houston,Texas,South,PROD-255,Technology,Accessories,Wireless Mouse,62.77,7,0.3,6.79
ORD-100088,2024-05-22,2024-05-23,Same Day,CUST-1015,Customer_740,Consumer,USA,Los Angeles,California,West,PROD-519,Office Supplies,Binders,Binder,872.31,6,0.1,47.91
ORD-100089,2024-11-01,2024-11-03,Standard Class,CUST-1872,Customer_337,Home Office,USA,New York,New York,East,PROD-979,Furniture,Tables,Study Table,351.79,5,0.3,31.44
ORD-100090,2024-06-30,2024-07-04,Second Class,CUST-1646,Customer_701,Corporate,USA,Chicago,Illinois,Central,PROD-332,Office Supplies,Paper,Copy Paper,874.94,8,0,178.81
ORD-100091,2023-04-03,2023-04-07,Standard Class,CUST-1047,Customer_333,Consumer,USA,New York,New York,East,PROD-400,Office Supplies,Paper,Copy Paper,454.8,2,0.3,29.5
ORD-100092,2024-01-03,2024-01-06,Second Class,CUST-1174,Customer_180,Consumer,USA,Houston,Texas,South,PROD-724,Technology,Accessories,Wireless Mouse,540.54,4,0.2,97.54
ORD-100093,2024-01-27,2024-02-01,First Class,CUST-1470,Customer_262,Home Office,USA,Boston,Massachusetts,East,PROD-109,Technology,Accessories,Wireless Mouse,914.57,8,0,98.82
ORD-100094,2024-04-21,2024-04-24,First Class,CUST-1654,Customer_435,Home Office,USA,Boston,Massachusetts,East,PROD-356,Office Supplies,Binders,Binder,92.38,3,0,27.43
ORD-100095,2024-04-12,2024-04-19,First Class,CUST-1588,Customer_303,Home Office,USA,Chicago,Illinois,Central,PROD-402,Technology,Accessories,Wireless Mouse,856.27,7,0,93.59
ORD-100096,2023-01-23,2023-01-30,Standard Class,CUST-1932,Customer_621,Home Office,USA,Boston,Massachusetts,East,PROD-608,Furniture,Tables,Study Table,27.94,5,0.3,5.16
ORD-100097,2023-10-21,2023-10-28,Second Class,CUST-1643,Customer_100,Home Office,USA,Los Angeles,California,West,PROD-761,Office Supplies,Binders,Binder,234.62,6,0,48.15
ORD-100098,2023-02-10,2023-02-13,First Class,CUST-1765,Customer_426,Consumer,USA,Houston,Texas,South,PROD-305,Technology,Phones,Smartphone,737.71,6,0,204.65
ORD-100099,2023-05-16,2023-05-23,Same Day,CUST-1990,Customer_303,Home Office,USA,Seattle,Washington,West,PROD-991,Furniture,Chairs,Office Chair,833.86,5,0,232.24
ORD-100100,2023-12-13,2023-12-20,Same Day,CUST-1990,Customer_571,Corporate,USA,New York,New York,East,PROD-192,Furniture,Tables,Study Table,157.94,2,0,41.86
ORD-100101,2024-02-09,2024-02-10,First Class,CUST-1598,Customer_391,Home Office,USA,Chicago,Illinois,Central,PROD-480,Office Supplies,Binders,Binder,465.69,2,0.3,82.54
ORD-100102,2023-04-21,2023-04-27,Second Class,CUST-1663,Customer_65,Home Office,USA,Los Angeles,California,West,PROD-943,Furniture,Tables,Study Table,627.16,1,0.2,57.7
ORD-100103,2024-04-20,2024-04-26,First Class,CUST-1504,Customer_119,Consumer,USA,Chicago,Illinois,Central,PROD-340,Office Supplies,Paper,Copy Paper,134.34,7,0,38.5
ORD-100104,2024-07-04,2024-07-06,Same Day,CUST-1601,Customer_761,Home Office,USA,Houston,Texas,South,PROD-258,Furniture,Tables,Study Table,677.08,6,0.3,111.12
ORD-100105,2024-02-29,2024-03-06,First Class,CUST-1222,Customer_455,Corporate,USA,New York,New York,East,PROD-341,Furniture,Tables,Study Table,940.27,7,0,54.7
ORD-100106,2024-01-07,2024-01-08,Standard Class,CUST-1971,Customer_466,Consumer,USA,Boston,Massachusetts,East,PROD-778,Furniture,Chairs,Office Chair,79.34,6,0,7.73
ORD-100107,2023-08-06,2023-08-12,Second Class,CUST-1805,Customer_579,Consumer,USA,Boston,Massachusetts,East,PROD-170,Office Supplies,Binders,Binder,69.57,1,0,7.71
ORD-100108,2024-07-21,2024-07-23,Standard Class,CUST-1283,Customer_149,Consumer,USA,Seattle,Washington,West,PROD-653,Technology,Accessories,Wireless Mouse,341.99,4,0,84.53
ORD-100109,2023-09-14,2023-09-21,Second Class,CUST-1602,Customer_332,Consumer,USA,Los Angeles,California,West,PROD-278,Technology,Phones,Smartphone,149.17,1,0,36.92
ORD-100110,2023-09-29,2023-09-30,Same Day,CUST-1796,Customer_371,Home Office,USA,Los Angeles,California,West,PROD-707,Office Supplies,Paper,Copy Paper,535.56,7,0.3,3.15
ORD-100111,2023-04-22,2023-04-26,Same Day,CUST-1658,Customer_32,Consumer,USA,Seattle,Washington,West,PROD-590,Technology,Accessories,Wireless Mouse,732.7,1,0.3,88.19
ORD-100112,2024-02-16,2024-02-20,Standard Class,CUST-1329,Customer_623,Consumer,USA,Boston,Massachusetts,East,PROD-167,Technology,Phones,Smartphone,718.15,8,0.1,34.74
ORD-100113,2023-05-10,2023-05-13,Same Day,CUST-1517,Customer_620,Corporate,USA,Seattle,Washington,West,PROD-201,Office Supplies,Paper,Copy Paper,393.29,6,0.2,56.1
ORD-100114,2024-12-19,2024-12-20,Same Day,CUST-1408,Customer_426,Home Office,USA,Boston,Massachusetts,East,PROD-197,Office Supplies,Paper,Copy Paper,441.47,4,0,67.75
ORD-100115,2023-11-17,2023-11-21,Same Day,CUST-1068,Customer_94,Consumer,USA,Chicago,Illinois,Central,PROD-195,Office Supplies,Paper,Copy Paper,386.82,5,0,85.76
ORD-100116,2024-03-18,2024-03-19,First Class,CUST-1686,Customer_126,Corporate,USA,Boston,Massachusetts,East,PROD-462,Office Supplies,Paper,Copy Paper,815.53,6,0.2,20.38
ORD-100117,2024-11-12,2024-11-19,Standard Class,CUST-1591,Customer_520,Consumer,USA,Houston,Texas,South,PROD-258,Office Supplies,Paper,Copy Paper,969.03,1,0.2,85.38
ORD-100118,2024-11-03,2024-11-07,First Class,CUST-1587,Customer_232,Corporate,USA,Los Angeles,California,West,PROD-965,Technology,Phones,Smartphone,848.47,6,0,66.79
ORD-100119,2024-07-28,2024-08-04,First Class,CUST-1029,Customer_185,Corporate,USA,Seattle,Washington,West,PROD-819,Office Supplies,Binders,Binder,616.82,1,0.3,121.74
ORD-100120,2023-11-13,2023-11-16,Standard Class,CUST-1145,Customer_759,Home Office,USA,Chicago,Illinois,Central,PROD-131,Technology,Phones,Smartphone,872.47,3,0.2,152.1
ORD-100121,2023-04-04,2023-04-10,First Class,CUST-1738,Customer_333,Home Office,USA,Seattle,Washington,West,PROD-710,Technology,Accessories,Wireless Mouse,431.44,7,0,38.55
ORD-100122,2023-03-28,2023-03-29,Same Day,CUST-1497,Customer_622,Corporate,USA,Los Angeles,California,West,PROD-524,Technology,Accessories,Wireless Mouse,680.49,1,0,109.41
ORD-100123,2023-10-07,2023-10-09,Same Day,CUST-1539,Customer_684,Corporate,USA,Seattle,Washington,West,PROD-146,Technology,Phones,Smartphone,441.32,6,0,96.89
ORD-100124,2023-08-14,2023-08-18,First Class,CUST-1296,Customer_336,Consumer,USA,Seattle,Washington,West,PROD-107,Technology,Phones,Smartphone,220.33,1,0,53.28
ORD-100125,2024-05-24,2024-05-30,First Class,CUST-1073,Customer_407,Home Office,USA,Houston,Texas,South,PROD-143,Technology,Accessories,Wireless Mouse,392.6,3,0.3,18.66
ORD-100126,2024-03-22,2024-03-23,Same Day,CUST-1296,Customer_118,Corporate,USA,Houston,Texas,South,PROD-121,Technology,Phones,Smartphone,584.24,6,0.2,64.91
ORD-100127,2023-11-29,2023-12-01,Same Day,CUST-1536,Customer_81,Corporate,USA,Seattle,Washington,West,PROD-991,Furniture,Tables,Study Table,106.37,6,0,11.79
ORD-100128,2023-11-14,2023-11-20,Standard Class,CUST-1543,Customer_523,Consumer,USA,Chicago,Illinois,Central,PROD-894,Technology,Accessories,Wireless Mouse,783.54,6,0,139.17
ORD-100129,2023-12-24,2023-12-27,Second Class,CUST-1616,Customer_157,Home Office,USA,Boston,Massachusetts,East,PROD-177,Office Supplies,Paper,Copy Paper,251.54,3,0,28.67
ORD-100130,2023-07-01,2023-07-08,First Class,CUST-1884,Customer_643,Corporate,USA,Boston,Massachusetts,East,PROD-254,Furniture,Tables,Study Table,759.36,8,0.2,92.81
ORD-100131,2024-03-26,2024-03-27,Standard Class,CUST-1317,Customer_473,Corporate,USA,Houston,Texas,South,PROD-138,Furniture,Tables,Study Table,800.4,5,0.2,19.24
ORD-100132,2023-02-28,2023-03-03,Standard Class,CUST-1460,Customer_586,Home Office,USA,Chicago,Illinois,Central,PROD-292,Technology,Phones,Smartphone,622.71,2,0.2,66.08
ORD-100133,2023-11-26,2023-12-01,First Class,CUST-1731,Customer_87,Home Office,USA,Houston,Texas,South,PROD-761,Office Supplies,Binders,Binder,958.57,3,0.1,53.56
ORD-100134,2023-06-26,2023-06-27,Second Class,CUST-1372,Customer_382,Corporate,USA,Los Angeles,California,West,PROD-496,Office Supplies,Paper,Copy Paper,991.17,8,0.2,139.44
ORD-100135,2024-02-23,2024-03-01,First Class,CUST-1096,Customer_572,Home Office,USA,Chicago,Illinois,Central,PROD-495,Office Supplies,Paper,Copy Paper,793.44,1,0.3,58.45
ORD-100136,2023-10-18,2023-10-21,First Class,CUST-1317,Customer_672,Home Office,USA,Boston,Massachusetts,East,PROD-778,Office Supplies,Paper,Copy Paper,346.69,3,0.2,60.98
ORD-100137,2024-02-06,2024-02-08,First Class,CUST-1832,Customer_131,Home Office,USA,Seattle,Washington,West,PROD-819,Office Supplies,Paper,Copy Paper,323.39,2,0.1,61.73
ORD-100138,2024-12-02,2024-12-07,Second Class,CUST-1973,Customer_220,Corporate,USA,New York,New York,East,PROD-884,Office Supplies,Paper,Copy Paper,518.32,7,0,72.9
ORD-100139,2024-05-12,2024-05-14,Standard Class,CUST-1677,Customer_345,Home Office,USA,Los Angeles,California,West,PROD-234,Technology,Accessories,Wireless Mouse,95.62,3,0,16.92
ORD-100140,2024-09-03,2024-09-07,Second Class,CUST-1738,Customer_449,Consumer,USA,Los Angeles,California,West,PROD-520,Technology,Accessories,Wireless Mouse,834.72,3,0.2,177.18
ORD-100141,2024-01-09,2024-01-15,Second Class,CUST-1546,Customer_245,Corporate,USA,Boston,Massachusetts,East,PROD-928,Technology,Accessories,Wireless Mouse,618.38,8,0.3,114.99
ORD-100142,2024-04-25,2024-05-02,Same Day,CUST-1989,Customer_166,Consumer,USA,Los Angeles,California,West,PROD-920,Furniture,Chairs,Office Chair,472.45,8,0,115.53
ORD-100143,2024-09-11,2024-09-13,Standard Class,CUST-1291,Customer_86,Consumer,USA,Chicago,Illinois,Central,PROD-379,Technology,Phones,Smartphone,876.63,8,0.2,213.52
ORD-100144,2024-04-05,2024-04-10,First Class,CUST-1952,Customer_28,Corporate,USA,Los Angeles,California,West,PROD-154,Furniture,Tables,Study Table,947.48,2,0,240.83
ORD-100145,2024-02-10,2024-02-15,First Class,CUST-1953,Customer_102,Home Office,USA,Chicago,Illinois,Central,PROD-765,Technology,Accessories,Wireless Mouse,994.63,7,0,105.56
ORD-100146,2023-12-10,2023-12-17,Second Class,CUST-1777,Customer_723,Corporate,USA,Los Angeles,California,West,PROD-559,Technology,Accessories,Wireless Mouse,301.14,1,0.1,61.44
ORD-100147,2024-09-22,2024-09-23,Same Day,CUST-1113,Customer_795,Corporate,USA,New York,New York,East,PROD-343,Technology,Phones,Smartphone,231.34,5,0,43.31
ORD-100148,2023-11-05,2023-11-06,Standard Class,CUST-1856,Customer_512,Home Office,USA,New York,New York,East,PROD-648,Technology,Accessories,Wireless Mouse,646.17,7,0.2,80.3
ORD-100149,2023-01-17,2023-01-23,First Class,CUST-1246,Customer_585,Corporate,USA,Seattle,Washington,West,PROD-291,Office Supplies,Binders,Binder,724.17,4,0,113.92
